,Population2011Census,Wardcode,Ward name,Districtcode,District,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,LifeExpectancy,Children,Adult,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
0,11201,00ANGQ,Town,00AN,Hammersmith and Fulham,117.7,0.0,23.7,3.6,9.4,0.6,47.3,78.8,81.1,79.94999999999999,16.6502990804392,76.1497009195608,7.2,22.7,40.5,11.9
1,11518,00ANGA,Addison,00AN,Hammersmith and Fulham,114.0,0.3,24.9,4.5,9.3,0.5,49.4,78.8,88.6,83.69999999999999,14.5598194130926,78.2401805869074,7.2,27.9,44.1,15.8
2,10800,00ADGN,Falconwood and Welling,00AD,Bexley,44.2,0.7,1.1,2.9,22.1,1.3,58.1,78.2,82.8,80.5,19.1111111111111,65.1888888888889,15.7,15.4,12.4,2.6
3,12321,00BEGH,East Dulwich,00BE,Southwark,65.3,0.7,20.3,4.6,12.3,0.7,76.7,81.2,82.9,82.05000000000001,17.5229283337391,73.7770716662609,8.7,28.2,25.9,5.6
4,12609,00BCFZ,Barkingside,00BC,Redbridge,64.3,1.3,4.7,4.2,17.2,1.2,68.7,81.0,85.7,83.35,20.2791656753113,64.9208343246887,14.8,64.2,40.5,12.8
5,12702,00AGGD,Belsize,00AG,Camden,67.6,1.3,19.6,3.3,8.4,0.6,83.4,82.3,83.9,83.1,17.4460714848055,70.5539285151945,12.0,27.8,46.3,14.0
6,10286,00BGGL,Spitalfields and Banglatown,00BG,Tower Hamlets,213.5,1.4,31.9,11.2,17.2,0.3,35.7,92.7,93.7,93.2,13.7079525568734,80.69204744312661,5.6,54.7,50.7,24.6
7,15032,00BEGD,Camberwell Green,00BE,Southwark,128.1,1.6,63.5,11.6,19.3,0.4,69.6,74.4,85.1,79.75,21.1881319850985,71.4118680149015,7.4,61.1,46.8,13.4
8,11991,00BKGC,Bryanston and Dorset Square,00BK,Westminster,255.3,2.1,7.8,3.3,8.2,0.4,56.0,85.6,88.7,87.15,10.6329747310483,78.7670252689517,10.6,37.2,61.3,28.8
9,17362,00BBGL,Forest Gate South,00BB,Newham,111.2,2.2,26.4,9.8,17.6,0.6,61.8,74.6,77.2,75.9,19.4102061974427,74.0897938025573,6.5,68.2,54.8,25.5
