Id,Population_2011_Census,Ward_Code,Ward_Name,District_Code,District,Crime_Rate,Open_Space,hh_Social_Rented,Job_Seekers,No_Qual,Cars_Per_Household,General_Fertility_Rate,Male_Life_Expectancy,Female_Life_Expectancy,Life_Expectancy,Children,Adult,Greater_Than_65,Non_White,Not_Born_In_UK,Not_English_Speaking
0,11201,00ANGQ,Town,00AN,Hammersmith and Fulham,117.7,0,23.7,3.6,9.4,0.6,47.3,78.8,81.1,80,16.7,76.1,7.2,22.7,40.5,11.9
1,11518,00ANGA,Addison,00AN,Hammersmith and Fulham,114,0.3,24.9,4.5,9.3,0.5,49.4,78.8,88.6,83.7,14.6,78.2,7.2,27.9,44.1,15.8
2,10800,00ADGN,Falconwood and Welling,00AD,Bexley,44.2,0.7,1.1,2.9,22.1,1.3,58.1,78.2,82.8,80.5,19.1,65.2,15.7,15.4,12.4,2.6
3,12321,00BEGH,East Dulwich,00BE,Southwark,65.3,0.7,20.3,4.6,12.3,0.7,76.7,81.2,82.9,82,17.5,73.8,8.7,28.2,25.9,5.6
4,12609,00BCFZ,Barkingside,00BC,Redbridge,64.3,1.3,4.7,4.2,17.2,1.2,68.7,81,85.7,83.4,20.3,64.9,14.8,64.2,40.5,12.8
5,12702,00AGGD,Belsize,00AG,Camden,67.6,1.3,19.6,3.3,8.4,0.6,83.4,82.3,83.9,83.1,17.4,70.6,12,27.8,46.3,14
6,10286,00BGGL,Spitalfields and Banglatown,00BG,Tower Hamlets,213.5,1.4,31.9,11.2,17.2,0.3,35.7,92.7,93.7,93.2,13.7,80.7,5.6,54.7,50.7,24.6
7,15032,00BEGD,Camberwell Green,00BE,Southwark,128.1,1.6,63.5,11.6,19.3,0.4,69.6,74.4,85.1,79.8,21.2,71.4,7.4,61.1,46.8,13.4
8,11991,00BKGC,Bryanston and Dorset Square,00BK,Westminster,255.3,2.1,7.8,3.3,8.2,0.4,56,85.6,88.7,87.2,10.6,78.8,10.6,37.2,61.3,28.8
9,17362,00BBGL,Forest Gate South,00BB,Newham,111.2,2.2,26.4,9.8,17.6,0.6,61.8,74.6,77.2,75.9,19.4,74.1,6.5,68.2,54.8,25.5
10,16883,00AHGE,Addiscombe,00AH,Croydon,69.4,2.3,13.7,5.1,15.3,0.7,64.9,76.8,81.4,79.1,18.7,71.6,9.7,43.6,34.5,10.2
11,15885,00BBGM,Green Sainteet East,00BB,Newham,70.4,2.4,12.8,9.5,20.3,0.6,96.4,81.9,83,82.4,22.3,72,5.7,89.9,62.2,33.2
